End use,CDIV,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,AK,HI
water heating,5,0,0,0,0,0,0,0.00736027,0.014332487,0.306413293,0.137294436,0,0,0,0,0,0,0,0,0.087255069,0,0,0,0,0,0,0.186359649,0,0,0,0,0,0,0,0,0,0,0,0,0.086372802,0,0,0,0,0.141854298,0,0,0,0.032757695,0,0,0
water heating,6,0.255739557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243583342,0,0,0,0,0,0,0,0.141117132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359559969,0,0,0,0,0,0,0,0,0,0
water heating,7,0,0.093834535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126968882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103567644,0,0,0,0,0,0,0.675628939,0,0,0,0,0,0,0,0,0
water heating,8,0,0,0.306459275,0,0.245165607,0,0,0,0,0,0,0.099471093,0,0,0,0,0,0,0,0,0,0,0,0,0.06630803,0,0,0,0,0,0.07587627,0.098522388,0,0,0,0,0,0,0,0,0,0,0.078035709,0,0,0,0,0,0.030161628,0,0
water heating,9,0,0,0,0.316362359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22998392,0,0,0,0,0,0,0,0,0,0.42198043,0,0,0,0.013027502,0.018645789
cooking,1,0,0,0,0,0,0.253606297,0,0,0,0,0,0,0,0,0,0,0,0.414573811,0,0.116233557,0,0,0,0,0,0,0,0,0.101556232,0,0,0,0,0,0,0,0,0.064954113,0,0,0,0,0,0,0.049075991,0,0,0,0,0,0
cooking,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188143101,0,0,0.4604416,0,0,0,0.351415299,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooking,3,0,0,0,0,0,0,0,0,0,0,0,0,0.249031572,0.146658569,0,0,0,0,0,0,0.198350604,0,0,0,0,0,0,0,0,0,0,0,0,0.258034129,0,0,0,0,0,0,0,0,0,0,0,0,0.147925127,0,0,0,0
cooking,4,0,0,0,0,0,0,0,0,0,0,0.141169446,0,0,0,0.139114787,0,0,0,0,0,0,0.238345963,0.312104875,0,0,0,0.036038577,0.093758761,0,0,0,0,0,0,0,0,0,0,0,0.03946759,0,0,0,0,0,0,0,0,0,0,0
cooking,5,0,0,0,0,0,0,0.01072369,0.014679062,0.336392134,0.141032475,0,0,0,0,0,0,0,0,0.094478785,0,0,0,0,0,0,0.155487115,0,0,0,0,0,0,0,0,0,0,0,0,0.077349176,0,0,0,0,0.138730454,0,0,0,0.031127109,0,0,0
cooking,6,0.243406545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245811496,0,0,0,0,0,0,0,0.138959866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371822093,0,0,0,0,0,0,0,0,0,0
cooking,7,0,0.080543033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127744966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097189595,0,0,0,0,0,0,0.694522405,0,0,0,0,0,0,0,0,0
cooking,8,0,0,0.28558079,0,0.272049965,0,0,0,0,0,0,0.077727724,0,0,0,0,0,0,0,0,0,0,0,0,0.051816444,0,0,0,0,0,0.0636722,0.098033676,0,0,0,0,0,0,0,0,0,0,0.122715343,0,0,0,0,0,0.028403858,0,0
cooking,9,0,0,0,0.530867581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158217187,0,0,0,0,0,0,0,0,0,0.279241941,0,0,0,0.013027502,0.018645789
drying,1,0,0,0,0,0,0.256870625,0,0,0,0,0,0,0,0,0,0,0,0.417771997,0,0.108195852,0,0,0,0,0,0,0,0,0.099277512,0,0,0,0,0,0,0,0,0.069924639,0,0,0,0,0,0,0.047959374,0,0,0,0,0,0
drying,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172538222,0,0,0.392322919,0,0,0,0.435138859,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drying,3,0,0,0,0,0,0,0,0,0,0,0,0,0.186263136,0.158656979,0,0,0,0,0,0,0.205237797,0,0,0,0,0,0,0,0,0,0,0,0,0.304458745,0,0,0,0,0,0,0,0,0,0,0,0,0.145383343,0,0,0,0
drying,4,0,0,0,0,0,0,0,0,0,0,0.154092637,0,0,0,0.135322183,0,0,0,0,0,0,0.250968629,0.294516252,0,0,0,0.034591447,0.089241191,0,0,0,0,0,0,0,0,0,0,0,0.041267661,0,0,0,0,0,0,0,0,0,0,0
drying,5,0,0,0,0,0,0,0.007919344,0.013156846,0.316463544,0.161609553,0,0,0,0,0,0,0,0,0.087966874,0,0,0,0,0,0,0.16793458,0,0,0,0,0,0,0,0,0,0,0,0,0.082631349,0,0,0,0,0.131016054,0,0,0,0.031301856,0,0,0
drying,6,0.258125099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237167698,0,0,0,0,0,0,0,0.153235499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351471704,0,0,0,0,0,0,0,0,0,0
drying,7,0,0.083591079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127204747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107005792,0,0,0,0,0,0,0.682198382,0,0,0,0,0,0,0,0,0
drying,8,0,0,0.305350425,0,0.237899456,0,0,0,0,0,0,0.070049169,0,0,0,0,0,0,0,0,0,0,0,0,0.047532876,0,0,0,0,0,0.088564741,0.117744362,0,0,0,0,0,0,0,0,0,0,0.106917409,0,0,0,0,0,0.025941563,0,0
drying,9,0,0,0,0.619112728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115764443,0,0,0,0,0,0,0,0,0,0.233449539,0,0,0,0.013027502,0.018645789
clothes washing,1,0,0,0,0,0,0.244344898,0,0,0,0,0,0,0,0,0,0,0,0.442748964,0,0.101562578,0,0,0,0,0,0,0,0,0.0959217,0,0,0,0,0,0,0,0,0.069101732,0,0,0,0,0,0,0.046320126,0,0,0,0,0,0
clothes washing,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214809624,0,0,0.40634519,0,0,0,0.378845186,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clothes washing,3,0,0,0,0,0,0,0,0,0,0,0,0,0.248609459,0.14398157,0,0,0,0,0,0,0.221959788,0,0,0,0,0,0,0,0,0,0,0,0,0.258765067,0,0,0,0,0,0,0,0,0,0,0,0,0.126684116,0,0,0,0
